tool	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn	CPAchecker 1.9.1-svn
run set	sv-comp20_prop-reachsafety	sv-comp20_prop-reachsafety	sv-comp20_prop-reachsafety	sv-comp20_prop-reachsafety
../../../sv-benchmarks/c/	status	cputime (s)	walltime (s)	memory (MB)
loops/while_infinite_loop_3.yml	true	7.884502965	3.378500415943563	232.81663999999998
loops/while_infinite_loop_4.yml	false(unreach-call)	8.408733953	3.3747756879311055	238.821376
loop-acceleration/array_1-1.yml	TIMEOUT	901.093185638	856.2826697458513	1060.036608
loop-acceleration/array_1-2.yml	true	9.339118467	3.7859887569211423	259.64544
loop-acceleration/array_2-1.yml	TIMEOUT	901.964359023	814.4188248261344	1256.513536
loop-acceleration/array_2-2.yml	TIMEOUT	901.20697002	810.0138902370818	1003.380736
loop-acceleration/array_3-1.yml	true	8.213485326	3.510009191930294	213.7088
loop-acceleration/array_3-2.yml	TIMEOUT	900.955186111	815.1584944119677	1752.113152
loop-acceleration/array_4.yml	TIMEOUT	901.696362527	428.69716015900485	1775.4931199999999
loop-acceleration/const_1-1.yml	true	8.723302436	3.5217187758535147	244.61311999999998
loop-acceleration/const_1-2.yml	TIMEOUT	901.01887858	575.7308970422018	1102.7742719999999
loop-acceleration/diamond_1-1.yml	true	62.770649249	21.093418407952413	605.560832
loop-acceleration/diamond_1-2.yml	false(unreach-call)	99.084811794	38.009476411156356	641.388544
loop-acceleration/diamond_2-2.yml	true	26.635420209	6.949262619018555	402.407424
loop-acceleration/functions_1-1.yml	TIMEOUT	900.503194264	434.8417062719818	1016.373248
loop-acceleration/functions_1-2.yml	TIMEOUT	900.468354032	435.8860277561471	1134.6943999999999
loop-acceleration/multivar_1-1.yml	true	8.374370416	3.4253770080395043	229.26540799999998
loop-acceleration/multivar_1-2.yml	false(unreach-call)	8.283349208	3.3697280432097614	242.34393599999999
loop-acceleration/nested_1-1.yml	true	8.690607435	3.465133863966912	237.39596799999998
loop-acceleration/nested_1-2.yml	TIMEOUT	901.766362606	423.19378633005545	1340.612608
loop-acceleration/overflow_1-1.yml	TIMEOUT	901.040308964	436.71800430398434	937.050112
loop-acceleration/phases_1-1.yml	TIMEOUT	901.171212067	435.1737659238279	1002.5492479999999
loop-acceleration/phases_1-2.yml	TIMEOUT	900.502920986	435.8823488841299	990.1793279999999
loop-acceleration/phases_2-1.yml	false(unreach-call)	8.701937862	3.4699747550766915	243.597312
loop-acceleration/phases_2-2.yml	true	8.433619382	3.4318960239179432	230.43686399999999
loop-acceleration/simple_1-1.yml	TIMEOUT	900.439302828	435.828211680986	903.6595199999999
loop-acceleration/simple_1-2.yml	TIMEOUT	900.528704191	436.56987212295644	985.7146879999999
loop-acceleration/simple_2-1.yml	true	8.37700676	3.4138902600388974	239.702016
loop-acceleration/simple_2-2.yml	false(unreach-call)	8.165341425	3.422387723112479	237.715456
loop-acceleration/simple_3-1.yml	false(unreach-call)	8.24557601	3.394702237797901	235.614208
loop-acceleration/simple_3-2.yml	TIMEOUT	901.324814046	432.99449390009977	1015.795712
loop-acceleration/simple_4-1.yml	TIMEOUT	900.510109219	435.53748831897974	931.930112
loop-acceleration/simple_4-2.yml	true	8.455310992	3.433644498931244	237.871104
loop-acceleration/underapprox_1-1.yml	false(unreach-call)	12.127688783	4.46221738983877	278.12659199999996
loop-acceleration/underapprox_1-2.yml	true	9.471659926	3.7505209911614656	284.95871999999997
